"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "C++", "comment", "blank", "total"
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\forms.py", "Python", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0001_initial.py", "Python", 36, 0, 0, 0, 0, 1, 7, 44
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0002_job_approval_timestamp_job_cargo_id_job_description_and_more.py", "Python", 42, 0, 0, 0, 0, 1, 6, 49
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0003_alter_job_job_type.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0004_alter_job_description.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0005_alter_job_description.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0006_alter_job_description.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0007_job_completed_timestamp.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0008_trucker_organization.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0009_trucker_qualifications.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0010_job_docking_location_job_driver_applications_and_more.py", "Python", 43, 0, 0, 0, 0, 1, 6, 50
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0011_alter_job_driver_alter_job_license_plate.py", "Python", 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0012_job_state_locale.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0013_licenseplate_organization.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\0014_rename_independent_license_trucker_truck_license_and_more.py", "Python", 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\models.py", "Python", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\templates\companytruckerform.html", "HTML", 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\templates\driverdirectory.html", "HTML", 0, 80, 0, 0, 0, 6, 14, 100
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\templates\interface1.html", "HTML", 0, 198, 0, 0, 0, 7, 9, 214
